record_id,redcap_repeat_instrument,redcap_repeat_instance,id_complete,filler,title,publication_year,author_industry,authors_cro,country_first_author,country_last_author,competing_interest,publication_title,issn,promoter,funding___1,funding___2,funding___3,funding___4,doi,notes_study,paper_complete,og_study,exp_arm_constr,exp_arm_constr_other,exp_arm_select___1,exp_arm_select___2,exp_arm_select___3,exp_arm_select___4,exp_arm_select___5,exp_arm_select_other,phase___1,phase___2,phase___3,phase___4,phase___5,phase_other,pathology,population___1,population___2,population___3,population___4,population___5,population___6,icd10,intervention,atc,platform___1,platform___2,platform___3,platform___4,platform___5,platform_other,platform_nct,platform_eudract,platform_isrctn,platform_nb_other,og_center_number,og_design,justif_sat_def___1,justif_sat_def___2,justif_sat_def___3,justif_sat_def___4,justif_sat_def___5,justif_sat_def_other,og_design_ctrl,og_design_comp___1,og_design_comp___2,og_design_comp___3,og_design_comp___4,og_design_comp___5,og_design_comp___6,og_design_comp___7,og_design_compo_other,og_fu_start,og_fu_start_other,exp_arm_date_crit,notes_exp_arm,experimental_arm_complete,nb_ctrl_comp_ind,nb_rct_cmp_ind,ctrl_source,ctrl_type_source___1,ctrl_type_source___2,ctrl_type_source___3,ctrl_type_source___4,ctrl_type_source___5,ctrl_type_source___6,ctrl_type_source___7,ctrl_type_source_other,ctrl_number_centers,same_center,ctrl_data_type,ctrl_data_type_other,ctrl_units,ctrl_arm_date_crit,ctrl_same_select_crit,ctrl_select_crit___1,ctrl_select_crit___2,ctrl_select_crit___3,ctrl_select_crit___4,ctrl_select_crit___5,ctrl_select_crit___6,ctrl_select_crit_other,ctrl_fu_start_def,ctrl_exp_fu_start_eq,qualif_ctrl___1,qualif_ctrl___2,qualif_ctrl___3,qualif_ctrl___4,qualif_ctrl_other,justif_rwd_def___1,justif_rwd_def___2,justif_rwd_def___3,justif_rwd_def___4,justif_rwd_def_other,ctrl_ttt_selection_descr,notes_control,control_arm_complete,estimand,estimand_other,endpoint_type,multiplicity,def_prim_endpoint,prim_end_comp,endpoint_categ___1,endpoint_categ___2,endpoint_categ___3,endpoint_categ___4,nsn_justif,nsn_justif_other,alpha,power,nsn_planned_exp,nsn_planned_ctrl,nsn_correct,planned_adj,adj_method,adj_method_other,n_adj_vars,type_adj_vars___1,type_adj_vars___2,type_adj_vars___3,type_adj_vars___4,type_adj_vars_other,justif_adj_vars___1,justif_adj_vars___2,justif_adj_vars___3,justif_adj_vars___4,justif_adj_other,adj_vars_add_justif___1,adj_vars_add_justif___2,adj_vars_add_justif___3,adj_vars_add_justif_other,matching_ratio,matching_method,matching_meth_other,matching_algo___1,matching_algo___2,matching_algo___3,matching_algo___4,matching_algo___5,matching_algo_other,caliper_length,match_replacement,weight_type,weight_type_other,iptw_stab,balance_plan_meth___1,balance_plan_meth___2,balance_plan_meth___3,balance_plan_meth___4,balance_plan_meth___5,balance_plan_meth___6,balance_plan_meth___7,balance_plan_meth_other,smd_thresh,overlap_plan_meth___1,overlap_plan_meth___2,overlap_plan_meth___3,overlap_plan_meth___4,overlap_plan_meth_other,sens_analysis_type___1,sens_analysis_type___2,sens_analysis_type___3,sens_analysis_type___4,sens_analysis_type___5,sens_analysis_type___6,sens_analysis_type___7,sens_analysis_type_other,notes_stat,statistical_methods_indirect_comparison_complete,rwd_descr,rwd_strategies,exp_first_enroll,exp_last_enroll,ctrl_first_enroll,ctrl_last_enroll,med_fu_global,med_fu_exp,med_fu_control,res_consistency,multiplicity_res,n_included_exp,n_included_control,baseline_comp_meth___1,baseline_comp_meth___2,baseline_comp_meth___3,baseline_comp_meth___4,baseline_comp_meth___5,baseline_comp_meth___6,baseline_comp_meth___7,baseline_comp_meth_other,n_naive_exp,n_naive_ctrl,res_unadjusted,n_match_exp,n_match_ctrl,n_weight_exp,n_weight_ctrl,number_eff_adj,adj_var_exclu_causes___1,adj_var_exclu_causes___2,adj_var_exclu_causes___3,adj_var_exclu_causes___4,adj_var_exclu_causes___5,adj_var_exclu_causes___6,adj_var_exclu_other,weight_outliers_meth,weight_out_check_meth,balance_check,balance_proof,overlap_check,overlap_proof,balance_meth_where___1,balance_meth_where___2,balance_meth_where___3,res_diff_how,res_diff_how_other,res_diff_adjust,res_pseudo_pop,res_sign_eval,res_sign_eval_prim,res_sign_eval_mult,sign_results,sign_primary_endp,sign_multiple_endp,sens_analyses_sign,bias_discussion,notes_results,results_complete
7,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16 October 2015","15 January 2019",,,,,,,,105,174,1,1,0,0,0,0,0,,,,1,,,,,1,1,0,0,0,0,0,,,,3,,3,,0,0,1,,,,1,1,1,,1,1,,,1,"confounding bias",2
8,,,0,sc,"External control cohorts for the single-arm LIBRETTO-001 trial of selpercatinib in RET+ non-small-cell lung cancer",2022,1,1,usa,uk,1,"ESMO open",2059-7029,"eli lilly",0,0,1,0,10.1016/j.esmoop.2022.100551,,2,1,1,,0,0,0,0,0,,1,1,0,0,0,,"advanced metastatic non small cell lung cancer",0,0,0,1,0,0,,selpercatinib,,1,0,0,0,0,,NCT03157128,,,,,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,"overall response rate",1,1,0,0,0,3,,,,,,,1,7,"TMLE regression simultaneously to both groups",7,0,0,1,0,,0,0,1,0,,0,1,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,1,0,,,0,0,1,0,,1,0,0,1,0,0,1,"other controls","sensitivity: PS matching (genetic algorithm), PS weigthing with PS estimated by logistic regression with or withuout interaction",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,1,0,0,0,0,,,2,3,"reconstructed by digitizing adjusted Kaplan-Meier graphs",1,1,1,0,0,0,0,0,0,,1,1,1,0,0,0,,1,0,0,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2017,,2017,2021,,,,1,,48,2791,1,0,0,0,0,0,0,,,,4,,,,,NR,0,0,0,0,1,0,,,,3,,3,,0,0,1,,,,1,1,1,1,1,1,1,2,1,"discussion biais sans specifier confounding",2
9,,,0,sc,"Short-Term Outcomes of Phage-Antibiotic Combination Treatment in Adult Patients with Periprosthetic Hip Joint Infection",2023,0,0,russia,russia,0,Viruses,1999-4915,NR,1,0,0,0,10.3390/v15020499,,2,2,,,0,0,0,0,0,,0,0,0,0,1,"pilot study","periprosthetic hip joint infection",0,0,0,0,0,0,,"Phage-Antibiotic Combination Treatment",,0,0,0,1,0,,,,,,,3,0,0,0,0,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,," rate of periprosthetic infection relapses within 12 months ",,0,0,0,1,1,,0.1,0.8,21,21,1,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,0,,,3,1,,,,5,0,0,0,0,0,0,,,,0,1,0,0,,0,0,1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,2018,2011,2018,,,,0,,23,22,0,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,1,1,4,3,,,,0,,2
10,,,0,sc,"Efficacy and Safety of Atezolizumab and Bevacizumab in Appendiceal Adenocarcinoma",2024,0,0,usa,usa,1,"Cancer Research Communications",2767-9764,"M.D. Anderson Cancer Center",1,1,0,0,10.1158/2767-9764.CRC-24-0019,,2,2,,,0,0,0,0,0,,0,1,0,0,0,,"appendiceal adenocarcinoma",0,0,0,1,0,0,,"atezolizumab and bevacizumab",,0,0,0,1,0,,,,,,1,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,ORR,,1,0,0,0,1,,0.05,0.75,16,NR,,1,1,,4,1,0,0,0,,0,0,0,1,"""previously shown"" (sans precision)",0,1,0,,,3,,1,0,0,0,0,,NR,,,,,0,0,0,0,0,1,0,,,0,0,1,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,1,"leveraging a database",1,1,1,,1,0,1,0,0,0,0,0,0,,1,1,0,0,1,0,,0,0,1,0,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2020,,,,40,,,,16,16,1,0,0,0,0,0,0,,,,1,16,16,,,NR,0,0,0,0,1,0,,,,3,,3,,0,0,1,,,,1,1,,,1,1,2,,0,,2
11,,,0,,"Amivantamab compared with real-world therapies in patients with advanced non-small cell lung cancer harboring EGFR exon 20 insertion mutations who progressed after platinum-based chemotherapy",2022,1,0,UK,France,1,"Lung Cancer (Amsterdam, Netherlands)",1872-8332,"Janssen Research & Development, LLC",0,1,0,0,10.1016/j.lungcan.2022.03.005,,2,1,3,,0,0,0,0,1,"efficacy population",1,0,0,0,1,"with expansion cohort","non-small cell lung cancer",0,0,0,1,0,0,,amivantamab,,1,0,0,0,0,,NCT02609776,,,,multiple,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0,NR,,1,0,0,0,3,,,,,,,1,2,,4,0,0,1,0,,0,0,1,0,,0,1,0,,,,,0,0,0,0,0,,,,2,,,0,1,0,1,0,0,0,,0.10,0,0,1,0,,0,0,0,1,0,0,1,"excluding patients with ecog missing; including only 2nd LOTs",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,1,0,0,0,0,,,3,1,,2,0,2,0,0,1,1,0,1,"clinically relevant eligibility criteria",2,,1,0,0,0,,1,0,0,0,,1,"Platinum-based chemotherapy",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24-05-2016,,,,,,NR,,,81,125,1,0,0,1,0,0,0,,,,,,,,,4,0,0,0,0,1,0,,4,,1,1,3,,1,0,0,4,,,1,1,1,2,1,1,1,1,1,"real-world data sets lacked consistency in assessments, range of therapies selected by physicians in real-world practice based on patient characteristic, Supportive care in real-world settings was also likely different, patients in clinical trials may be healthier, unmeasured confounding",2
12,,,0,,"Targeted dosing of anti-thymocyte globulin in adult unmanipulated haploidentical peripheral blood stem cell transplantation: A single-arm, phase 2 trial",2023,0,0,chine,chine,,"American Journal of Hematology",1096-8652,"Chinese PLA General Hospital",1,0,0,0,10.1002/ajh.27068,,2,,,,0,0,0,0,0,,0,1,0,0,0,,"prophylaxis for acute GVHD in haploidentical peripheral blood stem cell transplantation",0,0,1,1,0,0,,,,1,0,0,0,0,,NCT04778618,,,,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,,4,transplantation,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,,,1,0,1,0,3,,,,,,,1,6,"multivariate analysis",,0,0,1,0,,0,0,1,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,1,0,,,0,0,1,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,1,0,0,0,0,0,,1,1,1,,1,0,4,0,0,0,0,0,0,,2,,0,1,0,0,,0,0,0,1,comparison,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,01/12/2020,14/01/2022,01/11/2018,01/04/2020,,"632 days",,,,63,102,1,0,0,0,1,0,0,,,,,,,,,,0,0,0,0,1,0,,,,3,,3,,0,0,1,,,,0,2,,,1,1,2,,0,"median follow-up was shorter in trial ",2
13,,,0,,"Efficacy of Premedication Protocol without Ranitidine for Taxane Regimen: A Multicenter Non-Randomized Historical Controlled Study",2022,0,0,Thailand,Thailand,0,"Asian Pacific journal of cancer prevention: APJCP",2476-762X,,0,0,0,1,10.31557/APJCP.2022.23.4.1331,,2,2,,,0,0,0,0,0,,0,0,0,1,0,,"premedication protocol in patients who had chemotherapy with taxane regimen.",0,0,0,1,0,0,,,,0,0,0,1,0,,,,,,1,,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hypersensitivity reactions",,0,0,1,1,3,,,,,,,1,6,"multivariate analysis",,0,0,1,0,,0,0,1,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,1,0,,,0,0,1,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,1,1,1,,1,1,1,0,0,0,0,0,0,,2,,0,1,0,0,,0,0,0,1,comparison,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/05/2020,31/12/2020,01/05/2020,31/12/2020,,,,,,221,220,1,0,0,0,1,0,0,,,,3,,,,,,0,0,0,0,1,0,,,,3,,3,,0,0,1,,,,0,2,,,3,,,,0,"only retrospective data",2
14,,,0,,"Intermediate-dose cyclophosphamide and bortezomib for PBSC mobilization in multiple myeloma",2023,0,0,japan,japan,0,"Transfusion and Apheresis Science: Official Journal of the World Apheresis Association: Official Journal of the European Society for Haemapheresis",1473-0502,,0,0,0,1,10.1016/j.transci.2023.103649,,2,2,,,0,0,0,0,0,,0,1,0,0,0,,"multiple myeloma",0,0,0,1,0,0,,"cyclophosphamide and bortezomib",,0,0,0,1,0,,,,,,2,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,0,"successful mobilization",,0,0,1,1,3,,,,,,,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,2,1,1,,1,1,1,0,0,0,0,0,0,,2,,0,1,0,0,,0,0,0,1,comparison,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2013,01/06/2017,01.05/2003,01/03/2012,,,,,,21,15,1,0,0,0,0,0,0,,21,15,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,3,,,3,,,,1,"the ISS stage and induction regimens differed between Bor-ID-CY and ID-CY patients and this may have affected the outcomes. ",2
15,,,0,,"Relapse Rates With Paliperidone Palmitate in Adult Patients With Schizophrenia: Results for the 6-Month Formulation From an Open-label Extension Study Compared to Real-World Data for the 1-Month and 3-Month Formulations",2024,1,0,usa,germany,1,"The International Journal of Neuropsychopharmacology",1469-5111,Janssen,0,1,0,0,10.1093/ijnp/pyad067,,2,1,3,,0,0,0,0,1,"selection of 1 among 3 arms of the phase 3 study",0,0,1,0,1,"open-label extension study of a double blind RCT",schizophrenia,0,0,0,1,0,0,,,,1,0,0,0,0,,NCT04072575,,,,30,1,0,0,0,0,0,,,0,0,0,0,0,0,0,,4,"start date of the OLE study (end of double blind)",0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,"time to first relapse",,1,0,0,0,2,,,,,,,1,1,,8,1,1,0,0,,0,0,0,0,,0,0,0,,1:1,3,,1,0,0,0,0,,0.20,,,,,0,1,0,0,0,0,0,,0.20,0,0,1,0,,1,0,0,0,0,0,0,,"sensitivity matching 1:2:2",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,1,0,0,0,0,,,,1,,1,0,1,0,0,0,0,0,0,,1,0,1,0,0,0,,0,0,0,1,"leverage real-world data (RWD) in extending the interpretability of clinical study findings and generate comparative analysis to inform clinical decision-making",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,736,1,0,0,0,0,0,0,,,,,178,178,,,,0,0,0,0,1,0,,,,1,1,1,1,1,0,0,3,,,1,1,1,,1,1,,1,1,"unmeasured or unknown confounders",2
16,,,0,MD,"Efficacy of plasma exchange therapy for diffuse alveolar hemorrhage in patients with microscopic polyangiitis",2022,0,0,japan,,1,"Therapeutic Apheresis and Dialysis: Official Peer-Reviewed Journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy",1744-9987,,0,1,0,0,10.1111/1744-9987.13824,"A exclure : pas merdicament",1,2,,,0,0,0,0,0,,0,0,0,1,0,,"microscopic polyangiitis and diffuse alveaolar hemorrhage",0,0,0,1,0,0,,,,0,0,0,1,0,,,,,,2,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,"52 weeks survival ",,1,0,0,0,3,,,,,,,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,2,1,1,,1,1,1,0,0,0,0,0,0,,2,,0,1,0,0,,0,0,1,0,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2018,31/03/2021,,,,,,,,4,16,1,0,0,0,1,0,0,,4,16,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,1,1,,1,1,,,,,0
17,,,0,,"3- or 1-Month DAPT in Patients at High Bleeding Risk Undergoing Everolimus-Eluting Stent Implantation",2021,1,0,usa,Switzerland,1,"JACC. Cardiovascular interventions",1876-7605,"Abbott Medical Devices",0,1,0,0,10.1016/j.jcin.2021.07.016,"A exclure car dispositif pas medicament",1,1,2,,0,0,0,0,1,"not a subset, the CONCATENTAION of 3 single arm trials",0,0,0,1,0,,"patients at high bleeding risk undergoing percutaneous coronary intervention ",0,0,0,1,0,0,,"everolimus-eluting stent",,1,0,0,0,0,,NCT03218787,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,,,,,,,0
